property_type,location,size_sqm,year,month,bedrooms,bathrooms,usd_rate,iron_price,cement_price,usd_lag_3,iron_lag_3,cement_lag_3,seasonality_factor,base_price,economic_factor,price_egp
Apartment,North Coast,208,2018,1,5,5,14.88,17547.51,1522.96,15.12,17405.26,1557.15,1.0,4160000.0,1.4,5626824.26
Villa,North Coast,124,2018,1,3,4,15.12,18542.54,1568.54,15.1,18323.37,1579.35,1.0,4464000.0,1.42,5697874.68
Villa,New Cairo,255,2018,1,7,8,15.92,18111.66,1533.44,15.64,17996.42,1507.16,1.0,8262000.0,1.42,11976764.66
Villa,6th October,396,2018,1,7,8,15.94,18789.46,1549.61,14.88,17547.51,1522.96,1.0,9979200.0,1.42,15223239.8
Apartment,6th October,303,2018,1,5,5,15.66,17263.11,1595.4,15.12,18542.54,1568.54,1.0,4242000.0,1.41,6228538.06
Apartment,New Cairo,177,2018,1,2,1,15.0,16489.86,1523.12,15.92,18111.66,1533.44,1.0,3186000.0,1.39,4186759.1
Villa,Cairo,363,2018,1,7,7,14.82,17523.37,1479.64,15.94,18789.46,1549.61,1.0,7840800.0,1.4,11656390.36
Apartment,Cairo,355,2018,1,5,4,15.16,18179.94,1559.45,15.66,17263.11,1595.4,1.0,4260000.0,1.41,5783342.99
Villa,Sheikh Zayed,251,2018,1,7,7,15.2,17025.75,1581.66,15.0,16489.86,1523.12,1.0,7680600.0,1.4,10157012.78
Apartment,North Coast,74,2018,1,2,2,15.17,17365.49,1670.73,14.82,17523.37,1479.64,1.0,1480000.0,1.41,2277475.84
Apartment,North Coast,75,2018,1,1,1,15.47,16896.99,1577.72,15.16,18179.94,1559.45,1.0,1500000.0,1.4,1900435.97
Apartment,Cairo,276,2018,1,5,4,15.38,17672.45,1569.37,15.2,17025.75,1581.66,1.0,3312000.0,1.41,4356208.11
Apartment,6th October,214,2018,1,3,2,15.36,17673.7,1553.75,15.17,17365.49,1670.73,1.0,2996000.0,1.41,4190583.56
Apartment,North Coast,286,2018,1,4,3,14.97,17789.95,1605.99,15.47,16896.99,1577.72,1.0,5720000.0,1.41,7516984.87
Apartment,New Cairo,348,2018,1,5,5,14.61,17053.54,1546.72,15.38,17672.45,1569.37,1.0,6264000.0,1.39,8149983.45
Apartment,New Cairo,361,2018,1,5,4,15.56,17647.07,1619.75,15.36,17673.7,1553.75,1.0,6498000.0,1.41,9428726.26
Apartment,Sheikh Zayed,185,2018,1,3,2,15.25,17937.27,1573.44,14.97,17789.95,1605.99,1.0,3145000.0,1.41,4719094.9
Apartment,Cairo,312,2018,1,5,5,15.42,17820.09,1616.94,14.61,17053.54,1546.72,1.0,3744000.0,1.41,5462399.71
Villa,Cairo,318,2018,1,7,7,15.44,17923.66,1591.02,15.56,17647.07,1619.75,1.0,6868800.0,1.41,8933319.79
Apartment,6th October,220,2018,1,4,4,14.21,17533.55,1440.33,15.25,17937.27,1573.44,1.0,3080000.0,1.39,4618070.36
Apartment,Sheikh Zayed,351,2018,1,5,4,16.09,18412.89,1590.23,15.42,17820.09,1616.94,1.0,5967000.0,1.42,9219100.74
Villa,Sheikh Zayed,378,2018,1,7,8,14.95,18531.78,1534.8,15.44,17923.66,1591.02,1.0,11566800.0,1.41,15612462.16
Apartment,Cairo,188,2018,1,3,3,15.93,18185.94,1618.52,14.21,17533.55,1440.33,1.0,2256000.0,1.42,3242234.75
Villa,North Coast,81,2018,1,3,4,15.46,17952.17,1580.45,16.09,18412.89,1590.23,1.0,2916000.0,1.41,4108454.35
Studio,6th October,131,2018,1,1,1,14.71,17202.27,1601.96,14.95,18531.78,1534.8,1.0,1650600.0,1.4,2387236.19
Studio,Sheikh Zayed,288,2018,1,1,1,14.9,17480.49,1564.81,15.93,18185.94,1618.52,1.0,4406400.0,1.4,6768433.18
Apartment,North Coast,223,2018,1,3,2,14.91,16814.0,1569.15,15.46,17952.17,1580.45,1.0,4460000.0,1.4,6830406.25
Apartment,North Coast,189,2018,1,4,4,14.94,17162.88,1496.5,14.71,17202.27,1601.96,1.0,3780000.0,1.4,5286136.87
Studio,New Cairo,232,2018,1,1,1,14.38,17753.8,1526.47,14.9,17480.49,1564.81,1.0,3758400.0,1.4,4824252.58
Apartment,6th October,113,2018,1,2,2,14.87,16659.01,1532.7,14.91,16814.0,1569.15,1.0,1582000.0,1.39,2129107.56
Apartment,North Coast,155,2018,1,3,3,15.76,18575.95,1484.54,14.94,17162.88,1496.5,1.0,3100000.0,1.42,4318420.45
Apartment,New Cairo,195,2018,1,3,3,15.81,17755.33,1524.88,14.38,17753.8,1526.47,1.0,3510000.0,1.41,4990117.81
Villa,6th October,123,2018,1,4,4,14.94,17016.56,1583.24,14.87,16659.01,1532.7,1.0,3099600.0,1.4,4734746.6
Apartment,Cairo,348,2018,2,5,4,14.35,17035.58,1550.04,15.76,18575.95,1484.54,1.0,4176000.0,1.39,5534128.14
Studio,Sheikh Zayed,179,2018,2,1,1,15.6,18096.99,1550.71,15.81,17755.33,1524.88,1.0,2738700.0,1.41,3902425.88
Villa,Sheikh Zayed,318,2018,2,7,8,14.75,17420.37,1509.71,14.94,17016.56,1583.24,1.0,9730800.0,1.4,13027839.3
Studio,North Coast,73,2018,2,1,1,14.8,18353.23,1483.11,14.35,17035.58,1550.04,1.0,1314000.0,1.41,2001967.17
Villa,Sheikh Zayed,69,2018,2,3,4,15.16,17796.92,1607.42,15.6,18096.99,1550.71,1.0,2111400.0,1.41,3268630.54
Apartment,Sheikh Zayed,155,2018,2,4,3,15.12,17813.12,1515.32,14.75,17420.37,1509.71,1.0,2635000.0,1.41,3976838.28
Villa,Sheikh Zayed,60,2018,2,3,4,14.91,17726.36,1517.14,14.8,18353.23,1483.11,1.0,1836000.0,1.4,2491502.02
Villa,Sheikh Zayed,174,2018,2,5,5,14.96,17550.28,1598.9,15.16,17796.92,1607.42,1.0,5324400.0,1.41,7148820.96
Apartment,Sheikh Zayed,84,2018,2,2,1,15.07,17410.06,1603.03,15.12,17813.12,1515.32,1.0,1428000.0,1.4,1978583.51
Villa,Cairo,311,2018,2,7,7,14.96,17532.6,1539.16,14.91,17726.36,1517.14,1.0,6717600.0,1.4,9883808.54
Apartment,New Cairo,296,2018,2,5,5,15.0,17613.69,1550.55,14.96,17550.28,1598.9,1.0,5328000.0,1.4,6744711.72
Apartment,Sheikh Zayed,75,2018,2,1,1,15.18,17560.59,1582.31,15.07,17410.06,1603.03,1.0,1275000.0,1.41,1970824.4
Studio,North Coast,66,2018,2,1,1,15.51,18382.46,1554.95,14.96,17532.6,1539.16,1.0,1188000.0,1.42,1812046.22
Villa,Cairo,124,2018,2,3,3,15.46,18306.87,1568.04,15.0,17613.69,1550.55,1.0,2678400.0,1.42,3431601.17
Apartment,6th October,127,2018,2,1,1,15.07,16942.5,1543.64,15.18,17560.59,1582.31,1.0,1778000.0,1.4,2425810.67
Villa,North Coast,176,2018,2,4,4,15.19,18077.29,1593.64,15.51,18382.46,1554.95,1.0,6336000.0,1.41,9284566.87
Villa,Sheikh Zayed,389,2018,2,7,8,16.02,18000.53,1671.86,15.46,18306.87,1568.04,1.0,11903400.0,1.42,16071526.16
Villa,6th October,62,2018,2,3,4,15.85,17770.22,1649.57,15.07,16942.5,1543.64,1.0,1562400.0,1.42,2058145.92
Apartment,New Cairo,168,2018,2,3,3,15.63,18169.8,1632.32,15.19,18077.29,1593.64,1.0,3024000.0,1.42,4403946.22
Villa,New Cairo,162,2018,2,5,5,14.47,17379.6,1468.95,16.02,18000.53,1671.86,1.0,5248800.0,1.39,7895913.77
Villa,New Cairo,328,2018,2,7,7,15.42,17260.54,1635.49,15.85,17770.22,1649.57,1.0,10627200.0,1.41,16332953.94
Studio,6th October,213,2018,2,1,1,15.03,17918.61,1517.7,15.63,18169.8,1632.32,1.0,2683800.0,1.41,3402310.03
Apartment,6th October,372,2018,2,5,4,14.89,17403.81,1455.59,14.47,17379.6,1468.95,1.0,5208000.0,1.4,7813483.8
Villa,6th October,363,2018,2,7,8,15.2,17993.2,1517.35,15.42,17260.54,1635.49,1.0,9147600.0,1.41,13034144.64
Studio,Sheikh Zayed,168,2018,2,1,1,15.9,17944.56,1590.59,15.03,17918.61,1517.7,1.0,2570400.0,1.42,3453648.08
Villa,Sheikh Zayed,290,2018,2,6,6,15.83,18316.14,1489.54,14.89,17403.81,1455.59,1.0,8874000.0,1.42,12858748.23
Villa,New Cairo,340,2018,2,7,8,15.08,18012.73,1589.51,15.2,17993.2,1517.35,1.0,11016000.0,1.41,17077397.59
Villa,6th October,262,2018,2,7,8,15.43,18315.07,1613.32,15.9,17944.56,1590.59,1.0,6602400.0,1.42,8944107.91
Apartment,Sheikh Zayed,158,2018,2,4,3,15.19,17287.36,1540.15,15.83,18316.14,1489.54,1.0,2686000.0,1.4,3597049.95
Villa,New Cairo,289,2018,2,7,8,15.28,18553.76,1505.7,15.08,18012.73,1589.51,1.0,9363600.0,1.41,13763255.7
Apartment,Sheikh Zayed,237,2018,2,3,3,15.9,17880.46,1641.3,15.43,18315.07,1613.32,1.0,4029000.0,1.42,5198125.27
Villa,Cairo,353,2018,2,7,8,15.38,17089.59,1522.65,15.19,17287.36,1540.15,1.0,7624800.0,1.4,11365502.32
Studio,Sheikh Zayed,121,2018,2,1,1,14.53,17357.97,1445.64,15.28,18553.76,1505.7,1.0,1851300.0,1.39,2654089.34
Apartment,Cairo,304,2018,2,5,5,15.49,17653.03,1571.04,15.9,17880.46,1641.3,1.0,3648000.0,1.41,5494426.17
Villa,Sheikh Zayed,256,2018,2,6,7,16.33,17872.39,1617.74,15.38,17089.59,1522.65,1.0,7833600.0,1.42,10546118.24
Apartment,Cairo,130,2018,2,3,3,15.07,17562.83,1569.37,14.53,17357.97,1445.64,1.0,1560000.0,1.4,2343722.25
Villa,New Cairo,236,2018,2,5,6,16.2,18477.08,1648.51,15.49,17653.03,1571.04,1.0,7646400.0,1.43,10816065.67
Apartment,Cairo,104,2018,2,2,2,15.74,18038.0,1631.52,16.33,17872.39,1617.74,1.0,1248000.0,1.42,1641248.94
Apartment,North Coast,256,2018,2,5,4,16.02,18679.01,1538.0,15.07,17562.83,1569.37,1.0,5120000.0,1.42,7875845.08
Apartment,New Cairo,116,2018,2,2,1,15.88,17878.25,1491.97,16.2,18477.08,1648.51,1.0,2088000.0,1.41,3069485.6
Apartment,New Cairo,221,2018,2,3,3,15.53,17979.05,1599.63,15.74,18038.0,1631.52,1.0,3978000.0,1.42,5255809.29
Apartment,Cairo,363,2018,2,5,4,15.14,17695.33,1559.55,16.02,18679.01,1538.0,1.0,4356000.0,1.41,5815452.99
Villa,6th October,235,2018,2,6,6,15.54,18699.94,1554.09,15.88,17878.25,1491.97,1.0,5922000.0,1.42,8021082.05
Apartment,6th October,314,2018,2,5,5,15.57,17278.84,1571.39,15.53,17979.05,1599.63,1.0,4396000.0,1.41,6758734.21
Villa,North Coast,367,2018,2,7,8,15.95,17690.28,1555.47,15.14,17695.33,1559.55,1.0,13212000.0,1.41,20126574.43
Studio,Sheikh Zayed,238,2018,2,1,1,14.34,18210.13,1603.28,15.54,18699.94,1554.09,1.0,3641400.0,1.41,4961237.81
Apartment,Sheikh Zayed,103,2018,2,1,1,14.75,17265.53,1437.09,15.57,17278.84,1571.39,1.0,1751000.0,1.39,2421198.29
Apartment,6th October,193,2018,2,3,2,15.59,17008.77,1600.67,15.95,17690.28,1555.47,1.0,2702000.0,1.41,3635926.01
Apartment,Sheikh Zayed,113,2018,2,1,1,15.64,18813.49,1517.86,14.34,18210.13,1603.28,1.0,1921000.0,1.42,2861110.17
Studio,Sheikh Zayed,164,2018,2,1,1,15.05,17037.69,1519.27,14.75,17265.53,1437.09,1.0,2509200.0,1.4,3267377.99
Apartment,North Coast,366,2018,2,5,4,15.66,17880.48,1561.18,15.59,17008.77,1600.67,1.0,7320000.0,1.41,10012782.85
Villa,6th October,82,2018,2,3,4,15.83,18452.39,1542.28,15.64,18813.49,1517.86,1.0,2066400.0,1.42,2996365.07
Villa,Cairo,141,2018,2,4,5,15.39,18147.76,1558.4,15.05,17037.69,1519.27,1.0,3045600.0,1.41,4629334.76
Apartment,New Cairo,203,2018,2,4,4,16.21,17667.48,1479.13,15.66,17880.48,1561.18,1.0,3654000.0,1.41,5302094.12
Villa,6th October,108,2018,2,4,4,16.31,19347.16,1538.76,15.83,18452.39,1542.28,1.0,2721600.0,1.43,4244499.75
Apartment,New Cairo,335,2018,2,5,5,15.56,18046.0,1485.5,15.39,18147.76,1558.4,1.0,6030000.0,1.41,9237388.04
Apartment,New Cairo,194,2018,2,2,2,15.93,17943.24,1535.36,16.21,17667.48,1479.13,1.0,3492000.0,1.42,5158677.9
Studio,North Coast,175,2018,2,1,1,14.66,16833.01,1493.42,16.31,19347.16,1538.76,1.0,3150000.0,1.39,4183622.66
Villa,North Coast,84,2018,2,3,4,16.05,18267.04,1602.33,15.56,18046.0,1485.5,1.0,3024000.0,1.42,4461699.15
Studio,New Cairo,387,2018,2,1,1,16.25,18876.88,1580.48,15.93,17943.24,1535.36,1.0,6269400.0,1.43,8416204.98
Apartment,Cairo,78,2018,2,1,1,15.02,17366.28,1507.33,14.66,16833.01,1493.42,1.0,936000.0,1.4,1265955.44
Apartment,Cairo,356,2018,2,5,4,15.84,17042.95,1565.62,16.05,18267.04,1602.33,1.0,4272000.0,1.41,6321068.55
Apartment,North Coast,360,2018,2,5,4,14.6,16945.39,1494.86,16.25,18876.88,1580.48,1.0,7200000.0,1.39,10710972.62
Apartment,Sheikh Zayed,242,2018,2,4,3,15.14,17405.1,1538.56,15.02,17366.28,1507.33,1.0,4114000.0,1.4,5673455.05
Apartment,6th October,178,2018,2,4,4,15.28,16877.53,1547.29,15.84,17042.95,1565.62,1.0,2492000.0,1.4,3502494.88
Apartment,Sheikh Zayed,347,2018,2,5,5,14.81,17665.24,1501.34,14.6,16945.39,1494.86,1.0,5899000.0,1.4,8069288.75
Apartment,6th October,337,2018,2,5,4,15.43,18081.84,1492.7,15.14,17405.1,1538.56,1.0,4718000.0,1.41,6623633.3
Villa,Cairo,209,2018,2,6,6,15.4,17342.15,1567.6,15.28,16877.53,1547.29,1.0,4514400.0,1.41,6362201.67
Apartment,New Cairo,214,2018,2,3,2,15.86,18353.95,1635.0,14.81,17665.24,1501.34,1.0,3852000.0,1.42,5695434.19
Studio,6th October,192,2018,3,1,1,14.8,16943.89,1487.12,15.43,18081.84,1492.7,1.0,2419200.0,1.39,3535812.36
Apartment,6th October,282,2018,3,4,3,15.88,17272.21,1588.31,15.4,17342.15,1567.6,1.0,3948000.0,1.41,6099397.99
Villa,Cairo,155,2018,3,5,6,15.17,17059.27,1536.49,15.86,18353.95,1635.0,1.0,3348000.0,1.4,4625945.34
Apartment,North Coast,385,2018,3,5,4,14.93,17052.4,1575.64,14.8,16943.89,1487.12,1.0,7700000.0,1.4,9871605.6
Apartment,Sheikh Zayed,385,2018,3,5,4,15.48,18133.31,1530.52,15.88,17272.21,1588.31,1.0,6545000.0,1.41,9593657.6
Apartment,Sheikh Zayed,183,2018,3,3,2,15.96,18256.59,1587.02,15.17,17059.27,1536.49,1.0,3111000.0,1.42,4420700.44
Apartment,North Coast,353,2018,3,5,4,15.34,17213.32,1560.91,14.93,17052.4,1575.64,1.0,7060000.0,1.4,10585263.81
Apartment,6th October,348,2018,3,5,5,15.84,17585.9,1604.98,15.48,18133.31,1530.52,1.0,4872000.0,1.41,6404539.43
Villa,6th October,345,2018,3,7,8,15.73,18750.56,1531.51,15.96,18256.59,1587.02,1.0,8694000.0,1.42,12715771.15
Villa,New Cairo,166,2018,3,5,6,17.16,18990.84,1673.37,15.34,17213.32,1560.91,1.0,5378400.0,1.45,7709581.76
Apartment,North Coast,120,2018,3,3,3,15.44,17016.51,1545.55,15.84,17585.9,1604.98,1.0,2400000.0,1.4,3310210.16
Apartment,6th October,276,2018,3,4,4,15.52,18423.64,1601.75,15.73,18750.56,1531.51,1.0,3864000.0,1.42,5556228.36
Apartment,6th October,288,2018,3,5,5,16.16,19209.16,1588.21,17.16,18990.84,1673.37,1.0,4032000.0,1.43,5991200.64
Villa,New Cairo,185,2018,3,4,5,15.59,17780.16,1641.95,15.44,17016.51,1545.55,1.0,5994000.0,1.42,9081668.05
Villa,6th October,61,2018,3,3,3,15.74,17719.14,1506.61,15.52,18423.64,1601.75,1.0,1537200.0,1.41,2052533.45
Apartment,New Cairo,354,2018,3,5,5,14.74,17157.53,1564.25,16.16,19209.16,1588.21,1.0,6372000.0,1.4,8534573.56
Villa,North Coast,179,2018,3,5,5,15.56,17626.39,1593.8,15.59,17780.16,1641.95,1.0,6444000.0,1.41,9184631.9
Apartment,North Coast,87,2018,3,1,1,15.28,18021.92,1586.82,15.74,17719.14,1506.61,1.0,1740000.0,1.41,2382013.03
Apartment,Cairo,321,2018,3,5,5,15.39,17379.75,1622.27,14.74,17157.53,1564.25,1.0,3852000.0,1.41,5501005.52
Villa,Sheikh Zayed,386,2018,3,7,7,15.76,18264.76,1498.32,15.56,17626.39,1593.8,1.0,11811600.0,1.42,15713403.3
Villa,6th October,375,2018,3,7,8,15.61,17806.53,1688.95,15.28,18021.92,1586.82,1.0,9450000.0,1.42,12890393.76
Villa,North Coast,143,2018,3,4,4,16.03,17720.16,1627.45,15.39,17379.75,1622.27,1.0,5148000.0,1.42,7048484.83
Apartment,New Cairo,65,2018,3,2,1,16.12,18241.5,1702.72,15.76,18264.76,1498.32,1.0,1170000.0,1.43,1836298.93
Apartment,Cairo,319,2018,3,5,4,15.56,17673.82,1671.43,15.61,17806.53,1688.95,1.0,3828000.0,1.42,5804361.7
Apartment,Sheikh Zayed,326,2018,3,5,5,15.81,17583.62,1611.7,16.03,17720.16,1627.45,1.0,5542000.0,1.41,8368490.0
Apartment,6th October,321,2018,3,5,4,14.64,17307.22,1545.05,16.12,18241.5,1702.72,1.0,4494000.0,1.4,6294059.08
Villa,Sheikh Zayed,335,2018,3,7,8,15.82,17903.12,1628.54,15.56,17673.82,1671.43,1.0,10251000.0,1.42,14446373.35
Apartment,North Coast,309,2018,3,5,5,16.19,17858.68,1495.67,15.81,17583.62,1611.7,1.0,6180000.0,1.42,7994657.45
Studio,Sheikh Zayed,166,2018,3,1,1,15.22,17201.03,1556.45,14.64,17307.22,1545.05,1.0,2539800.0,1.4,3345257.71
Studio,6th October,223,2018,3,1,1,16.05,18071.82,1651.13,15.82,17903.12,1628.54,1.0,2809800.0,1.42,4316954.91
Apartment,6th October,330,2018,3,5,5,15.45,17830.36,1649.1,16.19,17858.68,1495.67,1.0,4620000.0,1.42,6572212.56
Apartment,North Coast,360,2018,3,5,4,15.4,17897.8,1554.06,15.22,17201.03,1556.45,1.0,7200000.0,1.41,11146732.58
Apartment,Cairo,60,2018,3,1,1,16.4,18384.04,1638.04,16.05,18071.82,1651.13,1.0,720000.0,1.43,1048312.7
Villa,New Cairo,105,2018,3,3,3,15.68,18497.52,1612.4,15.45,17830.36,1649.1,1.0,3402000.0,1.42,4720273.83
Apartment,Cairo,227,2018,3,3,2,16.13,17520.86,1602.36,15.4,17897.8,1554.06,1.0,2724000.0,1.42,3684538.13
Villa,Sheikh Zayed,210,2018,3,5,5,14.72,18154.99,1489.51,16.4,18384.04,1638.04,1.0,6426000.0,1.4,9771861.86
Apartment,North Coast,249,2018,3,5,4,15.4,17030.63,1536.83,15.68,18497.52,1612.4,1.0,4980000.0,1.4,6797273.07
Apartment,Cairo,375,2018,3,5,5,16.06,18655.82,1550.96,16.13,17520.86,1602.36,1.0,4500000.0,1.42,5957606.41
Villa,Sheikh Zayed,398,2018,3,7,8,15.77,18137.87,1513.09,14.72,18154.99,1489.51,1.0,12178800.0,1.41,16466132.88
Apartment,6th October,313,2018,3,5,5,15.62,17554.06,1572.72,15.4,17030.63,1536.83,1.0,4382000.0,1.41,6360451.24
Studio,6th October,204,2018,3,1,1,16.02,16800.78,1711.94,16.06,18655.82,1550.96,1.0,2570400.0,1.41,3367359.66
Apartment,Cairo,171,2018,3,4,3,15.31,16906.65,1577.74,15.77,18137.87,1513.09,1.0,2052000.0,1.4,2640084.22
Apartment,Cairo,333,2018,3,5,5,16.34,17851.37,1602.48,15.62,17554.06,1572.72,1.0,3996000.0,1.42,5634172.0
Villa,Sheikh Zayed,378,2018,3,7,8,15.63,18035.76,1599.93,16.02,16800.78,1711.94,1.0,11566800.0,1.42,15021230.07
Apartment,Sheikh Zayed,111,2018,3,2,1,15.33,17396.93,1525.11,15.31,16906.65,1577.74,1.0,1887000.0,1.4,2591707.51
Apartment,Cairo,214,2018,3,5,4,15.36,17663.09,1485.21,16.34,17851.37,1602.48,1.0,2568000.0,1.4,3478980.06
Apartment,Sheikh Zayed,75,2018,3,2,1,15.7,17633.31,1550.7,15.63,18035.76,1599.93,1.0,1275000.0,1.41,1759853.71
Studio,Sheikh Zayed,208,2018,3,1,1,15.53,17851.62,1520.22,15.33,17396.93,1525.11,1.0,3182400.0,1.41,4475827.98
Apartment,New Cairo,140,2018,3,1,1,16.02,17315.6,1508.31,15.36,17663.09,1485.21,1.0,2520000.0,1.41,3326564.96
Villa,6th October,211,2018,3,6,7,15.73,17734.41,1559.13,15.7,17633.31,1550.7,1.0,5317200.0,1.41,7424737.08
Villa,New Cairo,380,2018,3,7,8,15.58,18054.13,1603.51,15.53,17851.62,1520.22,1.0,12312000.0,1.42,16957367.45
Apartment,6th October,248,2018,3,3,2,15.94,19233.68,1616.77,16.02,17315.6,1508.31,1.0,3472000.0,1.43,5267858.18
Villa,New Cairo,299,2018,3,7,7,15.5,18172.97,1588.73,15.73,17734.41,1559.13,1.0,9687600.0,1.42,14253771.78
Villa,6th October,291,2018,3,6,6,16.02,17916.24,1684.35,15.58,18054.13,1603.51,1.0,7333200.0,1.42,11217035.11
Villa,New Cairo,95,2018,3,3,3,15.94,17650.21,1569.34,15.94,19233.68,1616.77,1.0,3078000.0,1.41,4500556.88
Apartment,6th October,177,2018,3,3,3,15.92,18189.99,1617.77,15.5,18172.97,1588.73,1.0,2478000.0,1.42,3256711.92
Villa,Cairo,392,2018,3,7,8,15.61,17383.47,1560.84,16.02,17916.24,1684.35,1.0,8467200.0,1.41,11938070.3
Apartment,6th October,282,2018,3,5,4,15.47,17808.71,1644.75,15.94,17650.21,1569.34,1.0,3948000.0,1.42,5857562.34
