listing_date,area,area_tier,region,property_type,size_sqm,bedrooms,bathrooms,floor,compound,standalone,sea_view,balcony,parking_spot,elevator,finishing_level,furnishing_level,property_age_years,distance_to_cbd_km,price_per_sqm_egp,price_egp,price_usd_est,estimated_rent_egp_month
2025-08-18,North Coast,Premium,Coastal,Duplex,249,2,2,1,0,0,0,1,1,0,Fully Finished,Unfurnished,11,234.2,71686,17849923,356998,116024
2024-01-21,Heliopolis,Premium,Urban,Villa,276,7,6,2,0,0,0,1,1,0,Fully Finished,Fully Furnished,24,10.8,46349,13048082,260962,71764
2024-01-15,Alexandria,Standard,Urban,Penthouse,74,2,2,15,0,0,1,1,0,1,Fully Finished,Partly Furnished,7,187.9,38192,2826229,56525,15544
2024-07-25,Alexandria,Standard,Urban,Apartment,403,1,1,7,0,0,0,1,0,1,Semi Finished,Unfurnished,8,218.6,9721,3917570,78351,25464
2026-02-06,North Coast,Premium,Coastal,Chalet,140,4,3,4,1,0,1,1,1,0,Core & Shell,Unfurnished,7,205.3,85410,11957371,239147,65766
2024-09-21,6th of October,Standard,Urban,Chalet,348,4,3,4,1,0,0,0,0,0,Semi Finished,Unfurnished,20,42.5,19985,6954749,139095,38251
2024-11-07,Heliopolis,Premium,Urban,Villa,290,7,6,1,0,1,0,0,1,0,Luxury Finished,Unfurnished,17,12.7,66862,19777847,395557,108778
2025-06-19,Ain Sokhna,Premium,Coastal,Apartment,387,1,1,8,0,0,0,1,1,1,Luxury Finished,Unfurnished,4,122.5,38198,14782657,295653,96087
2024-12-13,Sheikh Zayed,Premium,Urban,Apartment,107,1,1,2,1,0,0,1,1,1,Semi Finished,Partly Furnished,4,34.7,38891,4161327,83227,27049
2025-03-22,North Coast,Premium,Coastal,Penthouse,158,5,5,12,0,0,0,1,1,1,Fully Finished,Fully Furnished,0,240.7,54488,8609051,172181,47350
2025-08-27,6th of October,Standard,Urban,Apartment,286,1,1,8,1,0,0,0,1,0,Fully Finished,Partly Furnished,9,31.1,16068,4595314,91906,29870
2024-03-20,6th of October,Standard,Urban,Apartment,64,1,1,1,1,0,0,1,0,1,Fully Finished,Unfurnished,6,35.7,11561,739893,14798,4809
2024-04-09,Ain Sokhna,Premium,Coastal,Chalet,452,4,3,4,1,0,1,0,1,0,Luxury Finished,Partly Furnished,11,123.4,94687,42798628,855973,235392
2024-09-18,Haram,Standard,Urban,Villa,439,6,5,2,0,1,0,1,0,0,Fully Finished,Unfurnished,21,7.3,18616,8335657,166713,45846
2024-11-09,Ain Sokhna,Premium,Coastal,Apartment,111,1,1,2,0,0,0,1,0,1,Luxury Finished,Partly Furnished,0,143.1,52478,5825081,116502,37863
2025-11-18,Nasr City,Standard,Urban,Penthouse,466,3,4,14,0,0,0,1,1,1,Fully Finished,Fully Furnished,12,8.3,16858,7855660,157113,43206
2025-11-28,Nasr City,Standard,Urban,Penthouse,219,2,2,14,0,0,0,1,0,1,Fully Finished,Unfurnished,12,10.6,17881,3915952,78319,21538
2024-06-14,6th of October,Standard,Urban,Duplex,125,3,3,7,0,0,0,0,1,1,Core & Shell,Partly Furnished,0,28.0,17755,2219336,44387,14426
2026-02-11,Alexandria,Standard,Urban,Penthouse,193,2,2,15,0,0,0,1,0,1,Fully Finished,Unfurnished,10,244.1,23851,4603245,92065,25318
2025-09-03,Nasr City,Standard,Urban,Chalet,187,3,3,4,0,0,0,1,1,0,Luxury Finished,Fully Furnished,1,10.5,26329,4923613,98472,27080
2025-08-14,Alexandria,Standard,Urban,Apartment,444,1,1,6,0,0,0,1,1,1,Luxury Finished,Unfurnished,13,205.2,19669,8733070,174661,56765
2024-09-08,Alexandria,Standard,Urban,Duplex,292,4,4,5,0,0,0,1,1,1,Luxury Finished,Unfurnished,10,218.8,18324,5350523,107010,34778
2024-08-19,Ain Sokhna,Premium,Coastal,Chalet,196,4,3,4,1,0,1,1,0,0,Fully Finished,Unfurnished,0,90.1,92218,18074703,361494,99411
2025-01-29,New Cairo,Premium,Urban,Chalet,293,2,2,2,1,0,0,1,0,0,Luxury Finished,Partly Furnished,6,26.9,46840,13724004,274480,75482
2025-06-05,Maadi,Premium,Urban,Apartment,239,1,1,7,1,0,0,1,0,1,Luxury Finished,Unfurnished,9,12.7,24349,5819404,116388,37826
2025-12-02,Haram,Standard,Urban,Duplex,327,3,3,7,0,0,0,1,1,1,Semi Finished,Unfurnished,0,7.7,13865,4533865,90677,29470
2024-05-07,6th of October,Standard,Urban,Apartment,160,1,1,9,1,0,0,1,1,0,Luxury Finished,Partly Furnished,3,35.9,27664,4426175,88524,28770
2024-01-09,Maadi,Premium,Urban,Penthouse,283,2,2,12,1,0,0,1,1,1,Luxury Finished,Fully Furnished,4,12.5,63135,17867153,357343,98269
2024-11-23,New Cairo,Premium,Urban,Chalet,185,4,3,4,1,0,0,0,1,0,Fully Finished,Unfurnished,1,23.7,31770,5877388,117548,32326
2025-02-12,Maadi,Premium,Urban,Duplex,498,3,3,2,0,0,0,1,1,1,Luxury Finished,Partly Furnished,9,13.6,37498,18673859,373477,121380
2025-03-25,North Coast,Premium,Coastal,Chalet,460,3,2,3,1,0,0,1,0,0,Luxury Finished,Partly Furnished,4,200.1,75826,34880113,697602,191841
2024-11-27,North Coast,Premium,Coastal,Penthouse,431,2,2,10,0,0,1,1,1,1,Core & Shell,Fully Furnished,8,225.0,47882,20637327,412747,113505
2025-08-08,Maadi,Premium,Urban,Chalet,299,2,2,1,0,0,0,0,0,0,Fully Finished,Fully Furnished,13,10.0,38639,11552931,231059,63541
2024-04-05,Maadi,Premium,Urban,Penthouse,318,2,2,10,0,0,0,1,0,1,Luxury Finished,Fully Furnished,12,17.1,36734,11681308,233626,64247
2025-02-11,Nasr City,Standard,Urban,Chalet,405,1,1,4,0,0,0,0,1,0,Luxury Finished,Unfurnished,6,11.5,28934,11718193,234364,64450
2025-11-16,6th of October,Standard,Urban,Duplex,411,3,3,4,1,0,0,1,1,1,Fully Finished,Partly Furnished,8,30.7,24139,9921284,198426,64488
2024-07-14,Nasr City,Standard,Urban,Apartment,476,1,1,11,0,0,0,1,0,1,Fully Finished,Partly Furnished,14,9.4,16152,7688452,153769,49975
2025-12-11,Ain Sokhna,Premium,Coastal,Villa,419,6,5,2,1,0,1,1,1,0,Fully Finished,Fully Furnished,0,128.3,89733,38350272,767005,210926
2026-04-11,Alexandria,Standard,Urban,Apartment,493,1,1,7,0,0,0,1,1,1,Fully Finished,Fully Furnished,2,166.4,8753,4315054,86301,28048
2024-04-21,Haram,Standard,Urban,Chalet,322,3,3,2,0,0,0,1,1,0,Semi Finished,Unfurnished,4,8.2,12695,4087721,81754,22482
2025-09-18,Haram,Standard,Urban,Apartment,119,2,1,12,0,0,0,1,1,1,Semi Finished,Unfurnished,14,7.5,10946,1302568,26051,8467
2024-09-06,Sheikh Zayed,Premium,Urban,Apartment,363,1,1,1,1,0,0,1,1,1,Semi Finished,Partly Furnished,7,29.4,23210,8425174,168503,54764
2025-07-15,Heliopolis,Premium,Urban,Penthouse,219,5,5,13,0,0,0,0,0,1,Fully Finished,Unfurnished,7,11.4,34480,7551015,151020,41531
2026-03-10,Alexandria,Standard,Urban,Apartment,158,1,1,12,0,0,0,1,1,1,Core & Shell,Unfurnished,9,238.0,9299,1469312,29386,9551
2024-02-20,6th of October,Standard,Urban,Duplex,211,3,3,7,1,0,0,1,1,1,Fully Finished,Unfurnished,9,29.8,18397,3881843,77637,25232
2024-10-04,Nasr City,Standard,Urban,Chalet,172,3,2,1,0,0,0,1,0,0,Luxury Finished,Unfurnished,18,7.3,28182,4847356,96947,26660
2024-10-02,Maadi,Premium,Urban,Duplex,313,2,3,6,0,0,0,1,1,0,Semi Finished,Unfurnished,9,14.5,22693,7102757,142055,46168
2024-04-02,Alexandria,Standard,Urban,Chalet,212,4,3,1,0,0,1,1,0,0,Fully Finished,Fully Furnished,11,233.5,32352,6858626,137173,37722
2025-12-13,Sheikh Zayed,Premium,Urban,Villa,253,7,6,3,1,0,0,1,1,0,Luxury Finished,Unfurnished,1,33.1,48928,12626326,252527,69445
2024-12-10,6th of October,Standard,Urban,Penthouse,228,4,5,13,1,0,0,1,1,1,Core & Shell,Unfurnished,0,40.9,23292,5310632,106213,29208
2025-05-09,New Cairo,Premium,Urban,Penthouse,363,5,5,10,1,0,0,1,0,1,Fully Finished,Fully Furnished,5,24.8,22581,8196924,163938,45083
2026-01-17,North Coast,Premium,Coastal,Chalet,460,4,3,3,0,0,1,1,1,0,Semi Finished,Partly Furnished,8,230.3,75220,34601148,692023,190306
2024-07-11,New Cairo,Premium,Urban,Duplex,430,2,2,2,0,0,0,1,1,1,Fully Finished,Partly Furnished,12,28.3,28785,12377757,247555,80455
2025-03-04,Ain Sokhna,Premium,Coastal,Penthouse,110,3,3,15,1,0,0,1,1,1,Luxury Finished,Unfurnished,7,123.9,78714,8658535,173171,47622
2025-12-16,North Coast,Premium,Coastal,Chalet,86,2,2,4,0,0,1,1,0,0,Luxury Finished,Unfurnished,5,252.1,108154,9301224,186024,51157
2024-03-28,Heliopolis,Premium,Urban,Apartment,343,1,1,6,0,0,0,0,0,1,Semi Finished,Partly Furnished,8,14.7,24231,8311288,166226,54023
2024-11-24,New Cairo,Premium,Urban,Penthouse,376,5,5,13,1,0,0,1,0,1,Fully Finished,Fully Furnished,3,27.7,33102,12446402,248928,68455
2024-05-15,6th of October,Standard,Urban,Duplex,94,4,4,3,1,0,0,1,0,1,Core & Shell,Partly Furnished,6,31.2,19139,1799103,35982,11694
2025-01-25,New Cairo,Premium,Urban,Duplex,279,3,3,1,1,0,0,1,1,0,Fully Finished,Unfurnished,0,25.0,39463,11010272,220205,71567
2026-01-21,Heliopolis,Premium,Urban,Chalet,439,3,3,4,0,0,0,0,0,0,Semi Finished,Unfurnished,19,11.4,28352,12446618,248932,68456
2025-03-27,North Coast,Premium,Coastal,Penthouse,361,2,2,12,1,0,1,1,0,1,Luxury Finished,Unfurnished,0,230.3,92764,33487690,669754,184182
2026-02-23,6th of October,Standard,Urban,Duplex,175,3,3,5,1,0,0,0,1,1,Luxury Finished,Unfurnished,7,36.3,22344,3910214,78204,25416
2025-12-29,Heliopolis,Premium,Urban,Apartment,315,1,1,7,1,0,0,1,1,1,Semi Finished,Fully Furnished,11,11.2,18173,5724393,114488,37209
2025-03-22,Haram,Standard,Urban,Villa,382,7,6,2,0,1,0,1,1,0,Luxury Finished,Partly Furnished,22,8.3,19277,7511001,150220,41311
2024-01-26,North Coast,Premium,Coastal,Villa,347,5,5,3,1,0,1,1,1,0,Fully Finished,Partly Furnished,7,142.6,76322,27013465,540269,148574
2024-05-07,Maadi,Premium,Urban,Villa,186,3,3,3,0,1,0,1,1,0,Luxury Finished,Partly Furnished,10,14.7,48951,9287037,185741,51079
2025-06-16,Haram,Standard,Urban,Villa,332,7,6,1,0,1,0,0,1,0,Semi Finished,Partly Furnished,11,7.7,30147,10208816,204176,56148
2024-09-22,Alexandria,Standard,Urban,Chalet,305,3,3,3,0,0,0,1,0,0,Fully Finished,Partly Furnished,14,171.4,18932,5774353,115487,31759
2024-02-03,Ain Sokhna,Premium,Coastal,Penthouse,229,4,4,13,1,0,0,1,0,1,Fully Finished,Unfurnished,13,145.8,76747,17575058,351501,96663
2025-08-22,6th of October,Standard,Urban,Villa,468,7,6,1,1,0,0,1,1,0,Fully Finished,Unfurnished,9,34.0,28338,13527443,270549,74401
2025-07-06,Haram,Standard,Urban,Apartment,95,2,1,9,0,0,0,1,1,1,Fully Finished,Fully Furnished,3,7.0,22978,2182927,43659,14189
2024-08-24,Nasr City,Standard,Urban,Apartment,323,1,1,4,0,0,0,1,0,1,Fully Finished,Partly Furnished,8,7.4,13413,4332251,86645,28160
2026-03-24,6th of October,Standard,Urban,Duplex,413,3,3,6,1,0,0,0,1,1,Luxury Finished,Partly Furnished,3,37.3,21673,8951015,179020,58182
2025-02-12,Ain Sokhna,Premium,Coastal,Chalet,212,3,3,3,1,0,1,1,0,0,Luxury Finished,Fully Furnished,8,102.1,117956,25006689,500134,137537
2025-01-15,Maadi,Premium,Urban,Villa,117,5,6,2,1,0,0,1,1,0,Fully Finished,Unfurnished,21,13.2,63917,7627896,152558,41953
2024-10-06,Haram,Standard,Urban,Chalet,160,4,3,1,0,0,0,0,0,0,Semi Finished,Fully Furnished,3,7.8,23993,3838876,76778,21114
2024-12-18,North Coast,Premium,Coastal,Penthouse,119,2,2,10,1,0,0,0,1,1,Luxury Finished,Unfurnished,6,209.2,71823,8546995,170940,47008
2024-12-18,Heliopolis,Premium,Urban,Duplex,321,2,2,2,0,0,0,1,1,1,Luxury Finished,Fully Furnished,10,14.3,30741,9867937,197359,64142
2025-01-19,Nasr City,Standard,Urban,Chalet,370,4,3,2,0,0,0,1,1,0,Fully Finished,Unfurnished,15,8.4,19944,7379297,147586,40586
2025-09-15,Nasr City,Standard,Urban,Penthouse,429,4,4,11,0,0,0,1,1,1,Semi Finished,Fully Furnished,18,9.6,17663,7577229,151545,41675
2024-01-01,6th of October,Standard,Urban,Apartment,179,1,1,3,1,0,0,1,1,1,Fully Finished,Unfurnished,4,25.4,21415,3833244,76665,24916
2024-03-18,Haram,Standard,Urban,Villa,288,4,4,1,0,1,0,0,1,0,Luxury Finished,Partly Furnished,11,9.7,30864,9066516,181330,49866
2025-09-17,Ain Sokhna,Premium,Coastal,Apartment,455,1,1,8,1,0,0,1,1,1,Fully Finished,Unfurnished,10,123.9,40126,18257524,365150,118674
2025-12-29,New Cairo,Premium,Urban,Villa,181,5,5,1,0,0,0,1,1,0,Fully Finished,Unfurnished,0,22.0,65828,12153249,243065,66843
2024-01-23,Sheikh Zayed,Premium,Urban,Apartment,296,2,2,6,1,0,0,1,1,1,Fully Finished,Partly Furnished,0,27.3,19427,5750315,115006,37377
2024-09-19,New Cairo,Premium,Urban,Penthouse,251,4,4,10,1,0,0,1,1,1,Fully Finished,Fully Furnished,7,26.8,32638,8192238,163845,45057
2026-02-18,Heliopolis,Premium,Urban,Penthouse,306,4,4,15,1,0,0,1,0,1,Luxury Finished,Unfurnished,3,10.1,36370,11129327,222587,61211
2025-12-17,Haram,Standard,Urban,Chalet,145,3,3,3,0,0,0,1,1,0,Semi Finished,Unfurnished,13,8.9,23099,3349326,66987,18421
2024-03-24,Heliopolis,Premium,Urban,Apartment,153,1,1,9,1,0,0,1,0,1,Luxury Finished,Partly Furnished,20,12.6,28150,4306937,86139,27995
2024-09-26,Nasr City,Standard,Urban,Penthouse,263,4,4,10,0,0,0,0,0,1,Fully Finished,Fully Furnished,2,10.1,34753,9139997,182800,50270
2024-09-24,Haram,Standard,Urban,Villa,491,5,5,2,0,1,0,1,0,0,Fully Finished,Unfurnished,7,9.0,22603,11320001,226400,62260
2024-11-22,Ain Sokhna,Premium,Coastal,Villa,69,5,4,3,1,1,1,1,1,0,Fully Finished,Unfurnished,9,119.4,115622,8137472,162749,44756
2024-11-20,Heliopolis,Premium,Urban,Duplex,349,5,4,8,1,0,0,1,0,1,Fully Finished,Fully Furnished,15,12.9,43693,15248870,304977,99118
2026-02-08,Haram,Standard,Urban,Villa,206,7,6,1,0,0,0,1,1,0,Fully Finished,Partly Furnished,9,9.1,19873,4175802,83516,22967
2024-01-05,New Cairo,Premium,Urban,Penthouse,63,2,2,12,0,0,0,1,0,1,Fully Finished,Unfurnished,3,23.8,40017,2521047,50421,13866
2026-03-13,Sheikh Zayed,Premium,Urban,Apartment,443,1,1,1,0,0,0,1,0,1,Semi Finished,Unfurnished,9,32.7,18735,8299573,165991,53947
2024-12-20,North Coast,Premium,Coastal,Duplex,237,2,2,8,1,0,0,1,1,0,Luxury Finished,Unfurnished,8,268.5,62087,14714579,294292,95645
2025-07-28,New Cairo,Premium,Urban,Apartment,238,1,1,6,1,0,0,1,1,1,Core & Shell,Unfurnished,7,20.2,17725,4218498,84370,27420
2024-03-21,6th of October,Standard,Urban,Apartment,476,1,1,3,0,0,0,1,0,0,Core & Shell,Partly Furnished,19,33.1,11201,5331529,106631,34655
2025-03-21,Haram,Standard,Urban,Chalet,103,3,3,1,0,0,0,0,0,0,Semi Finished,Fully Furnished,17,7.9,15707,1617826,32357,8898
2024-04-07,Sheikh Zayed,Premium,Urban,Penthouse,301,4,3,15,1,0,0,1,1,1,Luxury Finished,Partly Furnished,4,28.6,48067,14468129,289363,79575
2024-06-06,Ain Sokhna,Premium,Coastal,Apartment,149,1,1,10,1,0,0,0,1,1,Fully Finished,Fully Furnished,10,125.8,50714,7556407,151128,49117
2025-03-30,Haram,Standard,Urban,Villa,477,3,3,1,0,1,0,0,0,0,Luxury Finished,Partly Furnished,8,7.8,20540,9993588,199872,54965
2024-03-05,Ain Sokhna,Premium,Coastal,Duplex,373,2,2,6,0,0,0,1,0,1,Core & Shell,Unfurnished,0,146.8,40587,15138867,302777,98403
2026-03-25,North Coast,Premium,Coastal,Duplex,276,4,4,7,1,0,0,1,1,1,Semi Finished,Partly Furnished,7,237.2,53708,14823359,296467,96352
2025-05-29,Heliopolis,Premium,Urban,Apartment,467,1,1,11,0,0,0,0,1,1,Semi Finished,Unfurnished,17,12.0,13614,6357832,127157,41326
2024-09-24,6th of October,Standard,Urban,Apartment,158,1,1,8,1,0,0,1,1,1,Fully Finished,Unfurnished,4,30.2,16345,2582537,51651,16786
2025-02-27,New Cairo,Premium,Urban,Penthouse,327,2,2,10,1,0,0,0,1,1,Fully Finished,Unfurnished,0,29.3,46364,15161090,303222,83386
2025-01-25,Ain Sokhna,Premium,Coastal,Penthouse,338,4,5,10,0,0,1,1,0,1,Luxury Finished,Partly Furnished,5,153.1,74590,25211540,504231,138663
2025-07-13,6th of October,Standard,Urban,Apartment,345,2,2,10,0,0,0,1,1,1,Fully Finished,Partly Furnished,0,28.2,9193,3171721,63434,20616
2025-06-06,New Cairo,Premium,Urban,Duplex,427,2,2,3,0,0,0,0,1,1,Luxury Finished,Unfurnished,14,26.3,34002,14518669,290373,94371
2025-08-12,Maadi,Premium,Urban,Penthouse,246,4,4,11,1,0,0,1,1,1,Fully Finished,Unfurnished,10,13.0,42602,10480165,209603,57641
2025-10-13,New Cairo,Premium,Urban,Duplex,455,2,2,2,0,0,0,0,1,0,Semi Finished,Unfurnished,7,24.4,15070,6856766,137135,44569
2024-09-18,6th of October,Standard,Urban,Duplex,324,3,3,2,1,0,0,1,1,1,Semi Finished,Unfurnished,7,31.1,16992,5505558,110111,35786
2026-04-12,Nasr City,Standard,Urban,Chalet,426,4,3,3,0,0,0,1,0,0,Luxury Finished,Fully Furnished,18,11.4,36409,15510278,310206,85307
2024-12-05,Heliopolis,Premium,Urban,Penthouse,158,2,2,12,0,0,0,1,0,1,Fully Finished,Fully Furnished,0,10.7,42736,6752218,135044,37137
2024-11-30,Alexandria,Standard,Urban,Duplex,438,5,4,2,0,0,0,1,1,0,Semi Finished,Unfurnished,14,220.0,13614,5962962,119259,38759
2024-12-01,Heliopolis,Premium,Urban,Apartment,98,1,1,10,0,0,0,1,1,1,Fully Finished,Unfurnished,8,12.2,26473,2594402,51888,16864
2024-08-18,Haram,Standard,Urban,Penthouse,222,2,2,15,0,0,0,0,1,1,Fully Finished,Unfurnished,9,8.3,17418,3866685,77334,21267
2024-01-04,Sheikh Zayed,Premium,Urban,Duplex,68,3,2,6,1,0,0,0,1,1,Fully Finished,Fully Furnished,2,29.6,33810,2299102,45982,14944
2024-06-11,New Cairo,Premium,Urban,Penthouse,289,2,2,11,1,0,0,1,0,1,Luxury Finished,Fully Furnished,8,26.0,36665,10596224,211924,58279
2025-09-20,North Coast,Premium,Coastal,Villa,452,7,6,1,1,1,1,1,1,0,Fully Finished,Fully Furnished,4,209.9,110041,50733123,1014662,279032
2024-04-22,New Cairo,Premium,Urban,Duplex,204,4,4,3,0,0,0,1,1,0,Fully Finished,Unfurnished,8,25.1,29529,6023858,120477,39155
2025-12-09,Alexandria,Standard,Urban,Penthouse,191,5,5,13,0,0,0,1,1,1,Fully Finished,Partly Furnished,12,209.6,24066,4596552,91931,25281
2025-01-02,6th of October,Standard,Urban,Penthouse,423,4,3,15,0,0,0,1,0,1,Luxury Finished,Unfurnished,9,27.9,22605,9561749,191235,52590
2024-11-25,Ain Sokhna,Premium,Coastal,Chalet,261,3,3,4,0,0,0,1,0,0,Fully Finished,Partly Furnished,0,125.6,74109,19342549,386851,106384
2026-03-30,6th of October,Standard,Urban,Penthouse,200,2,2,10,1,0,0,1,1,0,Semi Finished,Unfurnished,6,35.2,18615,3722962,74459,20476
2026-01-05,Haram,Standard,Urban,Duplex,376,3,2,4,0,0,0,1,0,1,Fully Finished,Partly Furnished,5,7.7,10873,4088181,81764,26573
2025-02-16,Ain Sokhna,Premium,Coastal,Apartment,446,1,1,8,1,0,0,1,0,1,Fully Finished,Fully Furnished,3,97.4,50310,22438072,448761,145847
2025-03-18,Alexandria,Standard,Urban,Duplex,428,2,2,5,0,0,0,0,1,1,Core & Shell,Fully Furnished,7,213.6,19625,8399405,167988,54596
2025-01-09,New Cairo,Premium,Urban,Penthouse,193,2,3,10,1,0,0,1,0,1,Fully Finished,Partly Furnished,5,22.0,45093,8702986,174060,47866
2024-05-20,Heliopolis,Premium,Urban,Penthouse,262,3,3,14,1,0,0,1,1,1,Luxury Finished,Unfurnished,11,10.6,30766,8060689,161214,44334
2026-01-04,Heliopolis,Premium,Urban,Duplex,286,3,3,4,0,0,0,1,1,1,Semi Finished,Unfurnished,9,10.8,35625,10188881,203778,66228
2025-12-02,Alexandria,Standard,Urban,Villa,106,5,6,3,0,1,0,0,1,0,Luxury Finished,Unfurnished,17,190.5,38681,4182192,83644,23002
2024-08-29,New Cairo,Premium,Urban,Penthouse,113,3,3,11,1,0,0,1,0,1,Semi Finished,Partly Furnished,2,23.1,41055,4639239,92785,25516
2024-03-13,6th of October,Standard,Urban,Apartment,71,1,1,6,1,0,0,1,0,1,Fully Finished,Unfurnished,6,28.7,26039,1848785,36976,12017
2025-02-13,North Coast,Premium,Coastal,Duplex,467,5,4,8,1,0,0,1,1,1,Fully Finished,Unfurnished,1,238.2,43007,20084207,401684,130547
2024-05-30,Heliopolis,Premium,Urban,Villa,407,7,6,2,1,1,0,1,1,0,Luxury Finished,Fully Furnished,8,11.5,47031,19524518,390490,107385
2025-06-05,Haram,Standard,Urban,Duplex,237,3,3,4,0,0,0,1,1,1,Fully Finished,Unfurnished,14,8.0,14295,3387920,67758,22021
2024-07-05,Heliopolis,Premium,Urban,Apartment,287,2,1,10,1,0,0,1,1,1,Luxury Finished,Fully Furnished,14,11.6,31259,8971207,179424,58313
2025-03-16,Maadi,Premium,Urban,Apartment,260,1,1,5,0,0,0,1,1,0,Luxury Finished,Fully Furnished,16,14.1,45425,11810413,236208,76768
2025-02-25,Heliopolis,Premium,Urban,Duplex,279,3,3,2,0,0,0,1,1,1,Semi Finished,Unfurnished,17,9.8,23423,6534961,130699,42477
2025-04-06,6th of October,Standard,Urban,Penthouse,449,2,2,15,1,0,0,1,1,1,Fully Finished,Unfurnished,8,31.2,20104,9026670,180533,49647
2025-05-20,6th of October,Standard,Urban,Penthouse,362,4,4,13,1,0,0,1,1,1,Luxury Finished,Unfurnished,4,36.8,28462,10303194,206064,56668
2025-07-03,Sheikh Zayed,Premium,Urban,Villa,371,5,5,3,0,0,0,0,1,0,Fully Finished,Partly Furnished,13,24.1,64588,24441309,488826,134427
2024-01-16,Ain Sokhna,Premium,Coastal,Apartment,433,2,1,5,1,0,0,1,0,1,Fully Finished,Partly Furnished,11,108.7,29212,12648748,252975,82217
2024-07-05,New Cairo,Premium,Urban,Chalet,400,1,1,4,1,0,0,1,1,0,Luxury Finished,Fully Furnished,11,26.8,45648,18259111,365182,100425
2024-01-11,Alexandria,Standard,Urban,Chalet,342,4,3,3,0,0,0,0,0,0,Luxury Finished,Partly Furnished,14,136.5,24504,8380463,167609,46093
2025-04-21,New Cairo,Premium,Urban,Villa,164,5,5,2,1,0,0,1,1,0,Luxury Finished,Partly Furnished,5,21.4,57158,9561467,191229,52588
2024-05-25,New Cairo,Premium,Urban,Penthouse,370,2,2,15,1,0,0,1,0,1,Fully Finished,Fully Furnished,5,21.5,44740,16553644,331073,91045
2024-08-02,New Cairo,Premium,Urban,Penthouse,410,2,2,10,1,0,0,0,1,1,Luxury Finished,Unfurnished,1,31.0,43079,17662318,353246,97143
2025-12-05,Maadi,Premium,Urban,Chalet,496,4,3,1,0,0,0,0,1,0,Luxury Finished,Partly Furnished,6,14.3,42279,20970417,419408,115337
2025-07-26,Heliopolis,Premium,Urban,Villa,142,4,4,1,1,1,0,1,1,0,Fully Finished,Partly Furnished,8,12.2,85847,12434074,248681,68387
