listing_id;area_m2;bedrooms;bathrooms;property_type;city;district;compound;latitude;longitude;month;year;price_per_m2;price;distance_to_center;luxury_score;project_avg_price;num_listings_in_project;target_price;material_costs_iron;material_costs_cement;usd_to_egp_rate;price_usd
17;317;2;3;Chalet;Cairo;Nasr City;Rehab;30.57744555;29.7883098;6;2025;33595;10649615;83.51931252;0.71;11331368;418;10649615;37500;3600;49.96068;213159.929
18;353;4;3;Chalet;Cairo;6th October;Mountain View;30.23575179;29.89430725;10;2025;33019;11655707;1.274647122;0.54;9779930;460;11655707;37500;3600;47.58140741;244963.477
19;251;3;3;Chalet;North Coast;New Cairo;Beverly Hills;31.05356897;29.97665687;5;2026;9880;2479880;88.93028573;0.22;2720572;192;2479880;37500;3600;;
20;336;5;1;Villa;Alexandria;Sheikh Zayed;Marassi;31.1847375;29.57568347;3;2026;36080;12122880;52.29322216;0.9;13111874;546;12122880;37500;3600;51.898;233590.5045
21;220;5;2;Villa;Giza;6th October;Marassi;30.98576359;31.8011782;11;2024;21002;4620440;58.94041518;0.52;4194073;160;4620440;37500;3600;49.38453846;93560.45726
22;373;2;2;Chalet;Cairo;Nasr City;Palm Hills;31.44967742;29.90548732;1;2025;8151;3040323;27.41999186;0.95;3523611;284;3040323;37500;3600;50.47022222;60239.93686
23;81;5;3;Villa;Cairo;Sheikh Zayed;Marassi;30.5752646;29.68409766;9;2025;26715;2163915;50.2737825;0.48;2140345;402;2163915;37500;3600;48.24915385;44848.76578
24;312;3;1;Villa;Giza;Sheikh Zayed;Rehab;31.46560865;30.67931351;8;2026;39341;12274392;61.20553918;0.14;12784272;357;12274392;37500;3600;;
25;295;2;2;Villa;Alexandria;Maadi;Rehab;30.01183807;31.85295799;6;2026;9847;2904865;117.4745536;0.37;2632658;467;2904865;37500;3600;;
26;108;5;3;Villa;Giza;Maadi;Rehab;31.23810591;31.9109646;7;2025;24875;2686500;74.72007643;0.54;2704968;158;2686500;37500;3600;49.29022222;54503.71045
27;118;1;1;Apartment;Cairo;Heliopolis;Rehab;29.86535019;31.19100706;12;2024;36446;4300628;76.03495033;0.19;3511453;464;4300628;37500;3600;50.57423077;85035.95477
28;229;1;3;Villa;Cairo;6th October;Palm Hills;30.70425816;29.9458719;2;2026;38919;8912451;119.6382496;0.41;7911348;76;8912451;37500;3600;47.20795833;188791.2825
29;247;1;1;Chalet;Alexandria;Nasr City;Madinaty;30.62360174;29.50948952;6;2024;35676;8811972;5.28685651;0.11;7555358;326;8811972;37500;3600;47.71948;184661.9452
30;330;1;3;Villa;North Coast;Maadi;;31.25570935;30.3375806;5;2025;35729;11790570;104.6807416;0.89;10363715;201;11790570;37500;3600;50.23519231;234707.3726
31;249;1;2;Chalet;Alexandria;New Cairo;Beverly Hills;30.99124515;29.81364023;11;2024;30346;7556154;95.1235533;0.96;6313480;541;7556154;37500;3600;49.38453846;153006.472
32;234;2;3;Villa;Giza;Sheikh Zayed;Beverly Hills;30.54979608;31.38773893;10;2026;22427;5247918;6.613987254;0.46;4834560;310;5247918;37500;3600;;
33;110;4;3;Chalet;Alexandria;New Cairo;Mountain View;31.32264164;31.92276463;1;2025;20779;2285690;53.60932794;0.89;2584593;187;2285690;37500;3600;50.47022222;45287.89253
34;114;4;1;Apartment;Giza;Sheikh Zayed;Palm Hills;31.30597798;29.70930694;2;2025;22401;2553714;62.56047933;0.18;2596013;409;2553714;37500;3600;50.49095833;50577.64963
35;303;2;1;Chalet;North Coast;New Cairo;Beverly Hills;29.84204412;30.49233614;9;2025;31172;9445116;4.90606336;0.07;9668261;73;9445116;37500;3600;48.24915385;195757.1324
36;379;2;2;Villa;North Coast;Sheikh Zayed;Palm Hills;31.28073158;31.75617376;7;2024;35784;13562136;54.3162852;0.33;13249786;50;13562136;37500;3600;48.17374074;281525.4907
37;190;3;3;Villa;Giza;Maadi;Mountain View;30.69519511;31.32072759;5;2024;9968;1893920;105.7599025;0.24;2063050;286;1893920;37500;3600;47.291;40048.21213
38;366;4;1;Chalet;Cairo;New Cairo;Beverly Hills;31.22623342;31.67445128;9;2025;36964;13528824;4.375119182;0.24;15747158;288;13528824;37500;3600;48.24915385;280395.052
39;194;1;2;Apartment;Giza;6th October;Mountain View;30.10825011;31.80744538;7;2026;12949;2512106;99.5441674;0.78;2748831;96;2512106;37500;3600;;
40;80;2;2;Villa;Giza;6th October;Madinaty;30.05686238;30.53154155;7;2025;38911;3112880;100.787145;0.81;2738785;193;3112880;37500;3600;49.29022222;63154.10764
41;388;1;1;Villa;Alexandria;Nasr City;Madinaty;31.02774535;31.23415537;5;2024;9044;3509072;1.332632644;0.56;2920686;262;3509072;37500;3600;47.291;74201.68742
42;226;4;1;Chalet;North Coast;Nasr City;Rehab;30.26810808;31.27333733;5;2025;39270;8875020;109.1761294;0.72;7305196;81;8875020;37500;3600;50.23519231;176669.3744
43;333;5;3;Chalet;Alexandria;Heliopolis;;30.75002894;31.07704011;3;2026;16481;5488173;86.14223875;0.28;6289534;443;5488173;37500;3600;51.898;105749.2196
44;148;5;2;Apartment;Cairo;Nasr City;Beverly Hills;30.97098642;30.31443485;4;2024;18225;2697300;112.8574133;0.7;2582572;366;2697300;37500;3600;47.82165385;56403.31906
45;375;2;1;Chalet;Cairo;New Cairo;Madinaty;30.83769277;31.58042209;6;2024;27286;10232250;111.5663783;0.75;8533325;220;10232250;37500;3600;47.71948;214425.0105
46;73;3;2;Villa;Cairo;Sheikh Zayed;Madinaty;30.9882413;31.42224326;12;2025;16548;1208004;30.54767696;0.94;1407436;85;1208004;37500;3600;47.55866667;25400.29157
47;301;1;3;Chalet;Giza;Heliopolis;Mountain View;30.85460738;30.61303262;6;2025;20674;6222874;62.59655086;0.09;5971922;346;6222874;37500;3600;49.96068;124555.4304
48;324;2;1;Apartment;Alexandria;Nasr City;;30.44451765;30.55241931;12;2024;29738;9635112;59.22914015;0.85;10919788;573;9635112;37500;3600;50.57423077;190514.257
49;112;3;2;Apartment;Giza;Maadi;;29.95384051;29.52695896;7;2026;39842;4462304;85.38642641;0.16;4028529;462;4462304;37500;3600;;
50;399;1;1;Villa;Cairo;6th October;Marassi;31.25408675;31.60861079;6;2025;23330;9308670;70.24382462;0.43;8361630;328;9308670;37500;3600;49.96068;186319.922
51;151;4;3;Chalet;North Coast;6th October;Rehab;31.23821397;30.20995996;6;2025;20265;3060015;115.7151062;0.01;3640980;294;3060015;37500;3600;49.96068;61248.46579
52;323;5;3;Villa;Alexandria;Maadi;Rehab;29.80965441;30.67700913;5;2024;12326;3981298;61.05048074;0.95;3567618;379;3981298;37500;3600;47.291;84187.22378
53;94;3;3;Apartment;Giza;6th October;Palm Hills;31.22947135;30.52825264;6;2026;19030;1788820;45.45765799;0.96;2077383;460;1788820;37500;3600;;
54;265;1;3;Apartment;Alexandria;New Cairo;Madinaty;30.05668097;31.19534817;3;2024;28003;7420795;119.0596161;0.96;7129426;102;7420795;37500;3600;44.53108;166643.0502
55;140;2;1;Chalet;Giza;Maadi;Madinaty;30.36586643;30.47525885;8;2026;31365;4391100;71.66437468;0.09;3958796;587;4391100;37500;3600;;
56;109;1;1;Chalet;North Coast;New Cairo;Mountain View;30.50269269;29.94934137;6;2024;11916;1298844;49.72069997;0.31;1290583;280;1298844;37500;3600;47.71948;27218.31839
57;61;2;2;Villa;North Coast;Heliopolis;Madinaty;30.95537244;31.67154207;3;2024;20590;1255990;43.09990206;0.4;1154731;180;1255990;37500;3600;44.53108;28204.79539
58;113;5;2;Apartment;Cairo;6th October;Palm Hills;29.95710632;29.95886525;8;2026;15275;1726075;85.20585884;0.98;1406631;318;1726075;37500;3600;;
59;165;5;1;Villa;North Coast;Maadi;Mountain View;31.2052975;29.57107375;1;2024;35248;5815920;106.8146427;0.79;5020347;156;5815920;37500;3600;30.88973077;188280.0483
60;319;1;1;Villa;Giza;Maadi;;31.40267124;29.99059938;1;2025;31406;10018514;22.04798019;0.65;8554294;467;10018514;37500;3600;50.47022222;198503.4652
61;369;1;2;Villa;Giza;Heliopolis;Rehab;31.41958298;30.63786074;5;2025;27000;9963000;45.33472868;0.38;9940239;425;9963000;37500;3600;50.23519231;198327.0998
62;250;2;1;Apartment;Cairo;Heliopolis;Madinaty;29.9561246;30.55807063;4;2025;36962;9240500;8.801786442;0.97;8245971;560;9240500;37500;3600;50.99584;181201.0548
63;277;2;3;Chalet;Cairo;Heliopolis;Madinaty;31.36294643;31.49080267;7;2025;12742;3529534;33.6242868;0.71;2978291;300;3529534;37500;3600;49.29022222;71607.18376
64;103;3;3;Apartment;North Coast;Maadi;Palm Hills;30.76530912;29.98732896;2;2026;35053;3610459;110.186522;0.52;2918440;131;3610459;37500;3600;47.20795833;76479.88025
65;221;3;3;Villa;North Coast;6th October;Beverly Hills;31.03577856;31.43902633;11;2024;25850;5712850;77.7633656;0.52;5018339;449;5712850;37500;3600;49.38453846;115680.9434
66;261;3;2;Apartment;Giza;6th October;;31.3820144;29.74092026;2;2026;37569;9805509;109.5375681;0.08;10897950;322;9805509;37500;3600;47.20795833;207708.8132
67;329;1;1;Villa;Giza;6th October;;30.92369228;30.68415162;6;2025;21595;7104755;67.31039406;0.38;7875747;267;7104755;37500;3600;49.96068;142206.9315
68;363;3;2;Villa;Giza;Nasr City;;30.57645706;31.66332244;2;2024;17032;6182616;118.4726997;0.14;7264296;280;6182616;37500;3600;30.89584;200111.6008
69;330;1;2;Chalet;Cairo;Nasr City;Palm Hills;30.69269012;30.53233456;5;2024;15658;5167140;76.64311143;0.74;5452983;521;5167140;37500;3600;47.291;109262.6504
70;274;5;1;Villa;Cairo;Sheikh Zayed;Mountain View;30.96365591;31.90820219;8;2026;19243;5272582;86.81554371;0.88;4837105;507;5272582;37500;3600;;
71;311;4;2;Apartment;Cairo;Maadi;Rehab;31.40598813;31.07759884;9;2026;31453;9781883;103.7170637;0.93;9995517;430;9781883;37500;3600;;
72;249;5;3;Chalet;Alexandria;6th October;Beverly Hills;31.31267479;31.39162994;12;2026;34246;8527254;43.1964793;0.98;8167665;397;8527254;37500;3600;;
73;355;1;1;Chalet;Alexandria;Maadi;Beverly Hills;30.78101433;30.77464446;2;2025;10341;3671055;36.26003547;0.22;3091157;67;3671055;37500;3600;50.49095833;72707.17612
74;272;1;3;Chalet;Cairo;Heliopolis;Palm Hills;30.15871746;30.5743946;11;2024;29329;7977488;21.58515458;0.51;6905489;285;7977488;37500;3600;49.38453846;161538.1706
75;267;4;3;Chalet;North Coast;New Cairo;Palm Hills;30.38943951;29.7116942;3;2026;36959;9868053;85.06077028;0.74;10705900;535;9868053;37500;3600;51.898;190143.2232
76;296;2;1;Chalet;Alexandria;New Cairo;Rehab;30.41507275;29.79987298;3;2026;14690;4348240;98.40837459;0.64;5160357;147;4348240;37500;3600;51.898;83784.34622
77;397;2;3;Apartment;North Coast;6th October;Marassi;30.29159586;30.92925947;2;2026;15954;6333738;47.268439;1;6756688;358;6333738;37500;3600;47.20795833;134166.7427
78;112;2;3;Villa;Alexandria;Nasr City;Mountain View;31.06946749;31.03408435;6;2025;9419;1054928;1.107571916;0.25;1128382;231;1054928;37500;3600;49.96068;21115.16497
79;339;3;3;Villa;Giza;Sheikh Zayed;Beverly Hills;31.22117892;31.9618871;7;2025;10546;3575094;109.0399928;0.59;4009043;380;3575094;37500;3600;49.29022222;72531.50501
80;276;2;1;Villa;Giza;Nasr City;Marassi;30.34371252;31.64435814;1;2024;39973;11032548;87.08811969;0.27;12297809;349;11032548;37500;3600;30.88973077;357159.0857
81;311;3;1;Villa;Giza;Maadi;Rehab;31.23841418;31.61121702;4;2025;27626;8591686;106.3970925;0.67;9298372;380;8591686;37500;3600;50.99584;168478.1739
82;247;3;1;Chalet;North Coast;Nasr City;Beverly Hills;31.04854359;30.21650947;2;2025;27019;6673693;105.435252;0.29;7514525;376;6673693;37500;3600;50.49095833;132176.0018
83;100;2;2;Villa;Alexandria;6th October;Beverly Hills;30.54989802;30.52945491;1;2026;28905;2890500;59.49099471;0.72;2905980;262;2890500;37500;3600;47.23857692;61189.39622
84;216;2;3;Villa;Alexandria;Heliopolis;Madinaty;30.98772715;29.7553226;8;2024;12684;2739744;90.81643716;0.64;2348930;326;2739744;37500;3600;48.92444444;55999.49128
85;74;4;2;Chalet;North Coast;Heliopolis;Beverly Hills;31.10787513;30.95384112;12;2024;14224;1052576;101.8876897;0.17;1159010;471;1052576;37500;3600;50.57423077;20812.49648
86;360;4;2;Chalet;Giza;Nasr City;Mountain View;30.75375288;29.67384451;12;2026;39951;14382360;6.212245376;0.22;12799209;339;14382360;37500;3600;;
87;124;3;3;Chalet;North Coast;New Cairo;Rehab;30.55329276;30.61707706;8;2024;28947;3589428;97.60248919;0.48;4180584;472;3589428;37500;3600;48.92444444;73366.76054
88;386;4;1;Villa;Giza;6th October;Rehab;29.97291456;30.91549941;4;2026;31490;12155140;60.54213827;0.7;10075985;295;12155140;37500;3600;54.578;222711.3489
89;68;3;2;Chalet;Cairo;6th October;Beverly Hills;29.80232844;30.07046236;6;2024;26410;1795880;43.30631932;0.16;1542192;82;1795880;37500;3600;47.71948;37634.10666
90;188;1;1;Chalet;Alexandria;6th October;Mountain View;31.39332723;31.43861075;12;2026;23730;4461240;21.39024252;0.29;4370083;359;4461240;37500;3600;;
91;195;3;1;Apartment;North Coast;Nasr City;Marassi;30.25472412;31.1871191;4;2026;9160;1786200;27.79412628;0.12;1850488;577;1786200;37500;3600;54.578;32727.47261
92;122;3;3;Apartment;North Coast;New Cairo;Madinaty;30.92707283;29.86966282;8;2024;16191;1975302;95.692982;0.09;2016089;511;1975302;37500;3600;48.92444444;40374.54124
93;198;4;2;Villa;Giza;Nasr City;Marassi;31.40371397;31.95920126;6;2025;10999;2177802;103.8099737;0.43;1956142;178;2177802;37500;3600;49.96068;43590.31943
94;140;1;2;Chalet;North Coast;Maadi;Palm Hills;31.19109517;30.85511369;9;2026;24583;3441620;115.6032288;0.22;3137201;259;3441620;37500;3600;;
95;222;5;1;Villa;Giza;Heliopolis;Marassi;30.00839077;29.56604511;7;2025;28800;6393600;18.43628796;0.29;6067220;407;6393600;37500;3600;49.29022222;129713.3531
96;348;5;3;Apartment;Giza;Sheikh Zayed;Palm Hills;31.16325117;30.37527463;7;2026;28273;9839004;62.32749287;0.63;9485273;180;9839004;37500;3600;;
97;320;5;2;Apartment;Alexandria;Sheikh Zayed;Mountain View;31.03486827;31.94827692;7;2025;32278;10328960;110.1417914;0.68;11685732;150;10328960;37500;3600;49.29022222;209553.9345
98;290;1;1;Chalet;Giza;Heliopolis;Beverly Hills;30.35997507;31.75577349;4;2025;9783;2837070;27.21881139;0.03;2321429;137;2837070;37500;3600;50.99584;55633.36147
99;100;2;1;Villa;Giza;Sheikh Zayed;Palm Hills;30.97232306;29.87790747;10;2024;11470;1147000;29.82289393;0.34;1283414;201;1147000;37500;3600;48.57340741;23613.74384
100;87;1;1;Apartment;North Coast;Heliopolis;Rehab;31.20400828;31.63751432;7;2026;34815;3028905;65.57875722;0.36;3529495;372;3028905;37500;3600;;
101;194;4;3;Chalet;North Coast;Maadi;Beverly Hills;30.29541725;31.04602702;9;2024;20859;4046646;68.93998798;0.88;4482377;556;4046646;37500;3600;48.46972;83488.12413
102;260;3;3;Villa;Giza;Maadi;Beverly Hills;31.27734977;29.55433631;4;2026;39997;10399220;23.82649957;0.45;11980823;278;10399220;37500;3600;54.578;190538.6786
103;387;3;1;Chalet;Giza;Maadi;;29.93398445;31.39357554;9;2026;14353;5554611;62.77247867;0.34;5888643;193;5554611;37500;3600;;
104;327;4;1;Chalet;Giza;New Cairo;Beverly Hills;30.69667257;30.53209086;1;2025;10272;3358944;109.4804818;0.18;2857963;507;3358944;37500;3600;50.47022222;66552.98614
105;92;4;3;Apartment;Cairo;6th October;;30.19647342;30.49034739;3;2026;39163;3602996;70.49507317;0.84;3844257;531;3602996;37500;3600;51.898;69424.56357
106;107;3;1;Villa;Giza;Heliopolis;Palm Hills;31.03761784;30.45700015;1;2024;34619;3704233;94.43871231;0.88;3306448;140;3704233;37500;3600;30.88973077;119917.9439
107;121;2;1;Apartment;Cairo;Maadi;Rehab;30.09727219;30.99139581;3;2025;34670;4195070;93.13689408;0.97;4403655;135;4195070;37500;3600;50.609;82891.77814
108;275;2;3;Villa;North Coast;Sheikh Zayed;Rehab;30.38047144;31.28553637;5;2025;19281;5302275;46.88999002;0.89;5932817;146;5302275;37500;3600;50.23519231;105549.0137
109;352;2;1;Villa;Alexandria;Heliopolis;Marassi;30.01655579;31.11910627;11;2025;26996;9502592;94.76711263;0.77;8344385;289;9502592;37500;3600;47.37608;200577.8443
110;158;4;1;Chalet;Alexandria;Sheikh Zayed;Beverly Hills;31.18025506;30.10440482;5;2026;19116;3020328;99.60546795;0.49;3471844;223;3020328;37500;3600;;
111;231;3;1;Chalet;Alexandria;Heliopolis;Beverly Hills;30.02486713;31.26700556;5;2025;12160;2808960;51.47982857;0.72;3288203;75;2808960;37500;3600;50.23519231;55916.1789
112;273;3;3;Villa;Alexandria;Heliopolis;Madinaty;31.02935773;29.83879413;11;2026;27191;7423143;94.57485895;0.6;6096799;368;7423143;37500;3600;;
113;94;3;3;Chalet;North Coast;Nasr City;Beverly Hills;31.00229137;31.92835246;1;2026;16620;1562280;119.2090697;0.75;1656804;350;1562280;37500;3600;47.23857692;33072.12244
114;286;1;3;Apartment;Alexandria;6th October;Marassi;30.04202626;30.68403359;4;2024;13228;3783208;76.01954016;0.71;3861856;376;3783208;37500;3600;47.82165385;79110.77296
115;160;1;2;Villa;North Coast;Maadi;;30.76228683;29.72836559;6;2026;15071;2411360;30.61557853;0.46;1993057;132;2411360;37500;3600;;
116;190;5;2;Apartment;North Coast;6th October;;30.64469484;30.94156247;5;2025;13199;2507810;100.7570037;0.47;2627220;52;2507810;37500;3600;50.23519231;49921.37752
117;316;1;2;Chalet;Giza;Maadi;;30.81065777;30.94245426;4;2024;23006;7269896;15.27612721;0.65;7127809;441;7269896;37500;3600;47.82165385;152021.0075
118;64;2;2;Villa;Giza;Sheikh Zayed;Marassi;31.39328698;29.59702858;1;2024;16122;1031808;60.54870658;0.87;841732;380;1031808;37500;3600;30.88973077;33402.94571
119;277;2;3;Chalet;Alexandria;6th October;;29.93691294;29.5271586;5;2026;29308;8118316;107.842382;0.45;8863864;238;8118316;37500;3600;;
120;314;2;1;Apartment;Giza;6th October;Rehab;31.19485634;31.99025559;11;2026;22874;7182436;78.12315223;0.38;8604292;169;7182436;37500;3600;;
121;342;2;3;Villa;Cairo;Maadi;Madinaty;31.26558269;30.47521158;11;2026;17455;5969610;116.6804171;0.85;6529397;106;5969610;37500;3600;;
122;266;5;2;Chalet;Cairo;Maadi;Rehab;30.01466595;30.11363886;2;2026;27140;7219240;47.73681618;0.29;7659566;209;7219240;37500;3600;47.20795833;152924.2156
123;74;2;3;Apartment;North Coast;6th October;Beverly Hills;30.91538044;30.86931199;4;2026;30099;2227326;63.78395884;0.92;2590178;441;2227326;37500;3600;54.578;40809.96006
124;101;4;1;Apartment;Giza;Heliopolis;Madinaty;30.99360935;29.52084408;4;2024;18124;1830524;44.37230771;0.54;2018536;439;1830524;37500;3600;47.82165385;38278.14082
125;238;4;2;Chalet;Alexandria;Maadi;Palm Hills;30.73273268;29.53223764;8;2026;19634;4672892;78.81457325;0.36;5258104;378;4672892;37500;3600;;
126;122;4;1;Villa;Alexandria;6th October;;30.65498093;29.78194903;2;2026;30133;3676226;37.18878835;0.4;3144195;297;3676226;37500;3600;47.20795833;77873.014
127;290;1;1;Chalet;Cairo;Nasr City;Rehab;30.34029132;31.50631333;11;2024;34828;10100120;33.27356086;0.55;8478836;419;10100120;37500;3600;49.38453846;204519.8824
128;300;3;1;Villa;Giza;6th October;Marassi;30.9714387;30.12062035;2;2025;33126;9937800;88.97888344;0.32;11532660;404;9937800;37500;3600;50.49095833;196823.3586
129;111;5;2;Apartment;Cairo;New Cairo;Rehab;30.28542932;30.75864258;5;2025;8293;920523;117.0875079;0.78;1071845;444;920523;37500;3600;50.23519231;18324.26547
130;155;4;3;Apartment;Giza;6th October;Mountain View;30.58203942;30.05905256;3;2025;9120;1413600;21.36482668;0.98;1255046;89;1413600;37500;3600;50.609;27931.79079
131;281;4;2;Apartment;Alexandria;Heliopolis;Mountain View;31.25752758;30.86207102;5;2026;8659;2433179;104.9292537;0.82;2759110;288;2433179;37500;3600;;
132;290;2;2;Chalet;Cairo;Nasr City;Mountain View;29.95221802;30.7720137;2;2024;8664;2512560;112.4363312;0.12;2974306;377;2512560;37500;3600;30.89584;81323.56978
133;296;4;3;Chalet;Giza;Nasr City;Marassi;30.69822944;30.50181108;4;2025;10408;3080768;92.56380961;0.33;2788305;150;3080768;37500;3600;50.99584;60412.14342
134;202;2;3;Chalet;Alexandria;Heliopolis;Marassi;30.6263259;30.58299493;9;2025;31212;6304824;47.90459159;0.51;5465747;86;6304824;37500;3600;48.24915385;130672.219
135;230;2;3;Apartment;Giza;Sheikh Zayed;;30.44341838;31.1334454;7;2025;10066;2315180;8.418831574;0.88;2115528;78;2315180;37500;3600;49.29022222;46970.3705
136;88;3;3;Villa;Alexandria;Heliopolis;Mountain View;30.81580048;31.6053848;9;2026;22677;1995576;4.576835285;0.46;2105006;331;1995576;37500;3600;;
137;95;1;1;Chalet;North Coast;Sheikh Zayed;Beverly Hills;29.82656505;30.29852265;1;2025;31843;3025085;71.87154069;0.32;3523657;297;3025085;37500;3600;50.47022222;59938.01626
138;72;2;2;Chalet;North Coast;New Cairo;;30.63719828;30.83036372;10;2025;16701;1202472;94.79152999;0.78;1279893;421;1202472;37500;3600;47.58140741;25271.88802
139;219;2;2;Chalet;Giza;Maadi;Marassi;30.62567392;31.63543854;11;2026;26198;5737362;37.26884705;0.74;5066205;237;5737362;37500;3600;;
140;386;3;2;Apartment;Cairo;Maadi;Beverly Hills;30.6773909;29.91981383;12;2024;9262;3575132;53.95347105;0.14;3338709;172;3575132;37500;3600;50.57423077;70690.78354
141;246;2;3;Villa;Giza;Nasr City;Marassi;30.16114844;31.9488931;7;2026;16307;4011522;30.83096314;0.16;4014114;585;4011522;37500;3600;;
142;302;5;2;Villa;North Coast;Nasr City;Marassi;30.15291405;31.37657252;11;2026;32853;9921606;97.66101547;0.51;8609343;391;9921606;37500;3600;;
143;145;1;1;Villa;Cairo;Sheikh Zayed;Mountain View;30.90024435;30.41528304;11;2025;31294;4537630;96.17114614;0.86;4920166;381;4537630;37500;3600;47.37608;95778.92472
144;343;5;2;Chalet;North Coast;Nasr City;Palm Hills;29.95763676;30.43794764;4;2024;31584;10833312;88.31022065;0.28;11895345;507;10833312;37500;3600;47.82165385;226535.7036
145;125;4;2;Chalet;North Coast;6th October;Beverly Hills;30.32006659;30.01337;4;2026;23260;2907500;101.7028099;0.63;2943053;179;2907500;37500;3600;54.578;53272.38081
146;229;1;1;Villa;Cairo;6th October;Beverly Hills;31.21238708;30.1697883;11;2024;24204;5542716;19.45843125;0.43;5760891;246;5542716;37500;3600;49.38453846;112235.8571
147;104;4;1;Apartment;Cairo;New Cairo;;29.97639841;30.96758776;1;2026;35882;3731728;54.06694164;0.02;3374611;290;3731728;37500;3600;47.23857692;78997.46866
148;121;2;2;Villa;North Coast;6th October;Palm Hills;30.59571218;29.50934526;8;2025;31066;3758986;98.07216757;0.47;3442378;361;3758986;37500;3600;48.49023077;77520.48073
149;193;3;3;Chalet;Alexandria;New Cairo;Madinaty;30.93667227;29.55789989;7;2025;11651;2248643;114.7564271;0.64;1952682;83;2248643;37500;3600;49.29022222;45620.46789
150;343;5;3;Villa;Cairo;Sheikh Zayed;Rehab;30.04079541;31.96619198;11;2026;15451;5299693;96.88374453;0.87;5366453;179;5299693;37500;3600;;
151;87;4;2;Villa;North Coast;6th October;Palm Hills;30.33118687;30.08882498;2;2024;21834;1899558;107.3305221;0.29;1792528;450;1899558;37500;3600;30.89584;61482.64621
152;167;2;2;Villa;Cairo;New Cairo;Madinaty;30.74988551;31.57391258;11;2026;12583;2101361;3.317354301;0.59;1887800;363;2101361;37500;3600;;
153;103;5;2;Apartment;Cairo;Maadi;Palm Hills;30.35628735;31.03100278;8;2024;19294;1987282;91.18969736;0.93;1630251;263;1987282;37500;3600;48.92444444;40619.40861
154;399;5;2;Chalet;North Coast;New Cairo;Mountain View;29.98689422;30.61495062;4;2025;20034;7993566;17.76554718;0.6;8133878;332;7993566;37500;3600;50.99584;156749.3741
155;345;4;3;Chalet;Alexandria;Heliopolis;;30.19509082;31.33045115;10;2024;29334;10120230;89.48608653;0.91;8407978;166;10120230;37500;3600;48.57340741;208349.1882
156;390;2;2;Villa;Giza;6th October;Madinaty;29.98600609;29.62505339;3;2025;15444;6023160;9.537384953;0.59;6563795;367;6023160;37500;3600;50.609;119013.6142
